,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
0,00001,Information,"Location in cross section, distance from right bank looking upstream, feet",Agree,,,,,,, , ,ft
1,00002,Information,"Location in cross section, distance from right bank looking upstream, percent",Agree,,,,,,, , ,%
2,00003,Information,"Sampling depth, feet",Agree,,,,,,, , ,ft
3,00004,Physical,"Stream width, feet",Agree,,,,,,, ,"Instream features, est. stream width",ft
4,00005,Information,"Location in cross section, fraction of total depth, percent",Agree,,,,,Total,, , ,%
5,00008,Information,Sample accounting number,Agree,,,,,,, , ,nu
6,00009,Information,"Location in cross section, distance from left bank looking downstream, feet",Agree,,,,,,, , ,ft
7,00010,Physical,"Temperature, water, degrees Celsius",Agree,,,,,,, ,"Temperature, water",deg C
8,00011,Physical,"Temperature, water, degrees Fahrenheit",Agree,,,,,,, ,"Temperature, water, deg F",deg F
9,00012,Physical,"Evaporation temperature, 48 inch pan, degrees Celsius",Agree,,,,,,, , ,deg C
10,00013,Physical,"Evaporation temperature, 24 inch pan, degrees Celsius",Agree,,,,,,, , ,deg C
11,00014,Physical,"Wet bulb temperature, degrees Celsius",Agree,,,,,,, ,"Temperature, wet bulb",deg C
12,00020,Physical,"Temperature, air, degrees Celsius",Agree,,,,,,, ,"Temperature, air, deg C",deg C
13,00021,Physical,"Temperature, air, degrees Fahrenheit",Agree,,,,,,, ,"Temperature, air, deg F",deg F
14,00022,Information,"Duration of exposure, sample or test, days",Agree,,,,,,, , ,days
15,00023,Information,"Sample weight, pounds",Agree,,,,,,, , ,lb
16,00024,Information,"Sample length, inches",Agree,,,,,,, , ,in
17,00025,Physical,"Barometric pressure, millimeters of mercury",Agree,,,,,,, ,Barometric pressure,mm/Hg
18,00028,Information,"Agency analyzing sample, code",Agree,,,,,,, , ,code
19,00029,Information,Project number,Not agree,,,,,,, , ,nu
20,00030,Physical,"Incident solar radiation intensity, calories per square centimeter per day",Agree,,,,,,, ,"Solar irradiation, local",cal/cm2/d
21,00031,Physical,"Incident light remaining at depth, percent",Agree,,,,,,, ,Light attenuation at measurement depth,%
22,00032,Physical,"Cloud cover, percent",Agree,,,,,,, ,Cloud cover (percent),%
23,00034,Physical,"Depth to 1 percent of surface light, feet",Agree,,,,,,, ,"Light attenuation, depth at 99%",ft
24,00035,Physical,"Wind speed, miles per hour",Agree,,,,,,, ,Wind velocity,mph
25,00036,Physical,"Wind direction, degrees clockwise from true north",Agree,,,,,,, ,Wind direction,Deg
26,00041,Information,"Weather, World Meteorological Organization (WMO) code",Not agree,,,,,,, , ,WMO code
27,00042,Information,"Altitude, feet above mean sea level",Agree,,,,,,, ,Altitude,ft abv MSL
28,00045,Physical,"Precipitation, total, inches",Agree,,,,,,, ,Precipitation,in
29,00046,Physical,"Precipitation, total, inches per week",Agree,,,,,,, ,Precipitation,in/week
30,00047,Physical,"Total partial pressure of dissolved gases, water, unfiltered, millimeters of mercury",Agree,,,,,Dissolved,, ,Partial pressure of dissolved gases,mm/Hg
31,00048,Physical,"Total partial pressure of dissolved gases, water, unfiltered, percent of saturation",Agree,,,,,Dissolved,, ,Partial pressure of dissolved gases,%
32,00049,Physical,"Surface area, square miles",Agree,,,,,,, , ,mi2
33,00050,Physical,"Evaporation total, inches per day",Agree,,,,,,, ,Evaporation,inches/day
34,00051,Physical,"Surface area, square feet",Agree,,,,,,, , ,ft2
35,00052,Physical,"Relative humidity, percent",Agree,,,,,,, ,Relative humidity,%
36,00053,Physical,"Surface area, acres",Agree,,,,,,, , ,ac
37,00054,Information,"Reservoir storage, acre-feet",Agree,,,,,,, ,Reservoir storage,ac-ft
38,00055,Physical,"Stream velocity, feet per second",Agree,,,,,,, ,Stream velocity,ft/sec
39,00056,Physical,"Flow rate of well, gallons per day",Not checked,,,,,,, , ,gal/day
40,00058,Physical,"Flow rate of well, gallons per minute",Not agree,,,,,,, , ,gal/min
41,00059,Physical,"Flow rate, instantaneous, gallons per minute",Agree,,,,,,, ,"Flow rate, instantaneous",gal/min
42,00060,Physical,"Discharge, cubic feet per second",Not checked,Mean,1 Day,,,,, ,"Stream flow, mean. daily",ft3/s
43,00061,Physical,"Discharge, instantaneous, cubic feet per second",Agree,,,,,,, ,"Stream flow, instantaneous",ft3/s
44,00062,Physical,"Elevation of reservoir water surface above datum, feet",Agree,,,,,,, , ,ft
45,00063,Information,"Number of sampling points, count",Agree,,,,,,, , ,count
46,00064,Physical,"Mean depth of stream, feet",Agree,Mean,,,,,, ,Depth,ft
47,00065,Physical,"Gage height, feet",Agree,,,,,,, ,"Height, gage",ft
48,00067,Physical,"Tide stage, code",Agree,,,,,,, ,Tide stage,code
49,00070,Physical,"Turbidity, water, unfiltered, Jackson Turbidity Units",Agree,,,,,Total,, ,Turbidity,JTU
50,00072,Physical,"Stream stage, meters",Agree,,,,,,, ,Stream stage,m
51,00074,Physical,"Light transmission, 1 meter path length, water, unfiltered, percent",Agree,,,,,Total,, , ,%
52,00075,Physical,"Turbidity, water, unfiltered, Hellige turbidimeter, milligrams per liter as silicon dioxide",Agree,,,,,Total,, ,"Turbidity, hellige",mg/l SiO2
53,00076,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",Not agree,,,,,Total,, ,Turbidity,NTU
54,00077,Physical,"Transparency, water, in situ, Secchi disc, inches",Agree,,,,,,, ,"Water transparency, Secchi disc",in
55,00078,Physical,"Transparency, water, in situ, Secchi disc, meters",Agree,,,,,,, ,"Water transparency, Secchi disc",m
56,00080,Physical,"Color, water, filtered, platinum cobalt units",Agree,,,,,Dissolved,, ,Color,PCU
57,00081,Physical,"Apparent color, water, unfiltered, platinum-cobalt units",Agree,,,,,Total,, ,Apparent color,PCU
58,00085,Physical,"Odor at room temperature, threshold odor number",Agree,,,,,,, ,Odor threshold number,TON
59,00086,Physical,"Odor at 60 degrees Celsius, threshold odor number",Agree,,,,,,60 deg C, ,Odor threshold number,TON
60,00090,Physical,"Oxidation reduction potential, reference electrode not specified, millivolts",Agree,,,,,,, ,Oxidation reduction potential (ORP),mV
61,00094,Physical,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius",Agree,,,,,Total,25 deg C, ,Specific conductance,uS/cm @25C
62,00095,Physical,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius",Agree,,,,,Total,25 deg C, ,Specific conductance,uS/cm @25C
63,00096,Physical,"Salinity, water, unfiltered, milligrams per milliliter at 25 degrees Celsius",Agree,,,,,Total,25 deg C, ,Salinity,mg/mL @25C
64,00098,Information,"Sampling depth, meters",Agree,,,,,,, , ,m
65,00100,Information,"Time of travel, hours",Agree,,,,,,, , ,hours
66,00115,Information,"Sample treatment, code",Agree,,,,,,, , ,code
67,00117,Information,"Precipitation, duration of storm event, minutes",Agree,,,,,,, ,Precipitation event duration,minutes
68,00118,Physical,"Precipitation, cumulative at given time, location 6, inches",Agree,,,,,,, ,Precipitation,in
69,00119,Physical,"Precipitation, cumulative at given time, location 5, inches",Agree,,,,,,, ,Precipitation,in
70,00120,Physical,"Precipitation, cumulative at given time, location 4, inches",Agree,,,,,,, ,Precipitation,in
71,00121,Physical,"Precipitation, cumulative at given time, location 3, inches",Agree,,,,,,, ,Precipitation,in
72,00122,Physical,"Precipitation, cumulative at given time, location 2, inches",Agree,,,,,,, ,Precipitation,in
73,00123,Physical,"Precipitation, cumulative at given time, location 1, inches",Agree,,,,,,, ,Precipitation,in
74,00124,Physical,"Precipitation, intensity at given time, location 6, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
75,00125,Physical,"Precipitation, intensity at given time, location 5, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
76,00126,Physical,"Precipitation, intensity at given time, location 4, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
77,00127,Physical,"Precipitation, intensity at given time, location 3, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
78,00128,Physical,"Precipitation, intensity at given time, location 2, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
79,00129,Physical,"Precipitation, intensity at given time, location 1, inches per hour",Agree,,,,,,, ,Precipitation,in/hr
80,00132,Information,"Dry days before precipitation event, days",Agree,,,,,,, ,Dry period preceding precipitation,days
81,00134,Information,Storm event serial number,Agree,,,,,,, , ,nu
82,00135,Information,"Elapsed time of storm, hours",Not checked,,,,,,, , ,hours
83,00149,Radiochemical,"Alpha-emitting isotopes of radium, water, filtered, picocuries per liter",Agree,,,,,Dissolved,, ,Alpha emitting radium isotopes,pCi/L
84,00164,Physical,"Flow, gallons per batch",Agree,,,,,,, ,"Flow, gallons per batch",gal/batch
85,00191,"Inorganics, Major, Non-metals","Hydrogen ion, water, unfiltered, calculated, milligrams per liter",Agree,,,,,Total,,12408-02-5,Hydrogen ion,mg/l
86,00193,Physical,"Precipitation total for defined period, inches",Agree,,,,,,, ,Precipitation,in
87,00196,Physical,"Wind run, miles",Agree,,,,,,, , ,mi
88,00197,Physical,"Evaporation, accumulated, inches",Agree,,,,,,, ,Evaporation,in
89,00198,Physical,"Depth to 10 percent of surface light, feet",Agree,,,,,,, , ,ft
90,00199,Physical,"Depth to 50 percent of surface light, feet",Agree,,,,,,, ,"Light attenuation, depth at 50%",ft
91,00200,Physical,"Incident light intensity, 400-700 nanometers, microeinsteins per square meter per second",Agree,,,,,,, , ,uE/m2/sec
92,00201,Physical,"Incident light, daily total, 400-700 nanometers, microeinsteins per square meter",Agree,,Daily,,,Total,, , ,uEinst/m2
93,00206,Information,"Collector area, wet deposition, square meters",Agree,,,,,,, , ,m2
94,00207,Information,"Collector area, dry deposition, square meters",Agree,,,,,,, , ,m2
95,00294,Physical,"Chemical oxygen demand, soluble, dry atmospheric deposition, milligrams per kilogram",Not checked,,,,,,, ,Chemical oxygen demand,mg/kg
96,00296,Physical,"Chemical oxygen demand, insoluble, dry atmospheric deposition, milligrams per kilogram",Not checked,,,,,,, ,Chemical oxygen demand,mg/kg
97,00297,Physical,"Chemical oxygen demand, total, dry atmospheric deposition, milligrams per kilogram",Not checked,,,,,Total,, ,Chemical oxygen demand,mg/kg
98,00300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",Agree,,,,,Dissolved,,7782-44-7,Oxygen,mg/l
99,00301,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, percent of saturation",Agree,,,,,Dissolved,,7782-44-7,Oxygen,% saturatn
100,00302,Physical,"Immediate oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",Not checked,,,,,Total,20 deg C, , ,mg/l
101,00310,Physical,"Biochemical oxygen demand, water, unfiltered, 5 days at 20 degrees Celsius, milligrams per liter",Not checked,,5 Day,,,Total,20 deg C, ,"Biochemical oxygen demand, standard conditions",mg/l
102,00315,Physical,"Biochemical oxygen demand, water, unfiltered, 7 days at 20 degrees Celsius, milligrams per liter",Not checked,,7 Day,,,Total,20 deg C, ,"Biochemical oxygen demand, non-standard conditions",mg/l
103,00319,Physical,"Ultimate biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",Not checked,,Ultimate,,,Total,20 deg C, ,"BOD, ultimate",mg/l
104,00320,Physical,"Ultimate carbonaceous biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",Not checked,,Ultimate,,,Total,20 deg C, ,"Carbonaceous biochemical oxygen demand, non-standard conditions",mg/l
105,00321,Physical,"Ultimate nitrogenous biochemical oxygen demand, water, unfiltered, milligrams per liter",Not checked,,Ultimate,,,Total,, ,Nitrogenous biochemical oxygen demand,mg/l
106,00324,Physical,"Biochemical oxygen demand, water, unfiltered, 20 days at 20 degrees Celsius, milligrams per liter",Not checked,,20 Day,,,Total,20 deg C, ,"Biochemical oxygen demand, non-standard conditions",mg/l
107,00325,Physical,"Deoxygenation constant (k1 to base e), biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, per day",Not checked,,,,,Total,20 deg C, , ,per day
108,00330,Physical,"Reoxygenation constant (k2 to base e), biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, per day",Not checked,,,,,Total,20 deg C, , ,per day
109,00335,Physical,"Chemical oxygen demand, low level, water, unfiltered, milligrams per liter",Not checked,,,,,Total,, ,"Chemical oxygen demand, (low level)",mg/l
110,00339,Physical,"Chemical oxygen demand, bed sediment, total, dry weight, milligrams per kilogram",Not checked,,,Dry,,Bed Sediment,, ,Chemical oxygen demand,mg/kg
111,00340,Physical,"Chemical oxygen demand, high level, water, unfiltered, milligrams per liter",Not checked,,,,,Total,, ,"Chemical oxygen demand, (high level)",mg/l
112,00349,Physical,"Biochemical oxygen demand, water, unfiltered, 30 days at 20 degrees Celsius, milligrams per liter",Not checked,,30 Day,,,Total,20 deg C, ,"Biochemical oxygen demand, non-standard conditions",mg/l
113,00359,Physical,"Biochemical oxygen demand, water, filtered, 5 days at 20 degrees Celsius, milligrams per liter",Agree,,5 Day,,,Dissolved,20 deg C, ,"BOD, filtered, 5 day, 20 deg C",mg/l
114,00367,Physical,"Chemical oxygen demand, low level, water, filtered, milligrams per liter",Not checked,,,,,Dissolved,, ,"Chemical oxygen demand, (low level)",mg/l
115,00400,Physical,"pH, water, unfiltered, field, standard units",Agree,,,,,Total,, ,pH,std units
116,00401,Physical,"Cations minus anions, water, milliequivalents",Agree,,,,,,, ,Cations-Anions,meq
117,00402,Physical,"Specific conductance, non-temperature corrected, water, unfiltered, microsiemens per centimeter",Agree,,,,,Total,, ,Specific conductance,uS/cm
118,00403,Physical,"pH, water, unfiltered, laboratory, standard units",Agree,,,,,Total,, ,"pH, lab",std units
119,00405,"Inorganics, Major, Non-metals","Carbon dioxide, water, unfiltered, milligrams per liter",Agree,,,,,Total,,124-38-9,Carbon dioxide,mg/l
120,00408,Physical,"pH, water, filtered, laboratory, standard units",Not checked,,,,,Dissolved,, , ,std units
121,00409,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter",Agree,,,,,Total,, ,Alkalinity,ueq/L
122,00410,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
123,00411,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
124,00413,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate",Agree,,,,,Total,, ,Alkalinity,mg/l CaCO3
125,00415,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
126,00416,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
127,00417,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
128,00418,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Not checked,,,,,Dissolved,, ,Alkalinity,mg/l CaCO3
129,00419,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
130,00420,"Inorganics, Major, Non-metals","Hydroxide, water, unfiltered, milligrams per liter",Not checked,,,,,Total,,14280-30-9,Hydroxide,mg/l
131,00421,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Not checked,,,,,Dissolved,, ,Alkalinity,mg/l CaCO3
132,00425,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,,,,,Total,,71-52-3,Bicarbonate,mg/l CaCO3
133,00430,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,,,,,Total,,3812-32-6,Carbonate (CO3),mg/l CaCO3
134,00431,"Inorganics, Major, Non-metals","Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Alkalinity,mg/l CaCO3
135,00434,Physical,"pH adjusted to 25 degrees Celsius, water, laboratory, standard units",Not checked,,,,,,25 deg C, , ,std units
136,00435,"Inorganics, Major, Non-metals","Acidity, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,Acidity,mg/l CaCO3
137,00436,"Inorganics, Major, Non-metals","Mineral acidity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,"Acidity, mineral methyl orange (as CaCO3)",mg/l CaCO3
138,00437,"Inorganics, Major, Non-metals","Carbon dioxide acidity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",Not checked,,,,,Total,, ,"Acidity, total, phenolphthalein (as CaCO3)",mg/l CaCO3
139,00440,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter",Not checked,,,,,Total,,71-52-3,Bicarbonate,mg/l
140,00445,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter",Not checked,,,,,Total,,3812-32-6,Carbonate (CO3),mg/l
141,00446,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",Not checked,,,,,Total,,3812-32-6,Carbonate (CO3),mg/l
142,00447,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,,,,,Total,,3812-32-6,Carbonate (CO3),mg/l
143,00448,"Inorganics, Major, Non-metals","Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter",Not checked,,,,,Total,,3812-32-6,Carbonate (CO3),mg/l
144,00449,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter",Not checked,,,,,Total,,71-52-3,Bicarbonate,mg/l
145,00450,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,,,,,Total,,71-52-3,Bicarbonate,mg/l
146,00451,"Inorganics, Major, Non-metals","Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter",Not checked,,,,,Total,,71-52-3,Bicarbonate,mg/l
147,00452,"Inorganics, Major, Non-metals","Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,,,,,Dissolved,,3812-32-6,Carbonate (CO3),mg/l
148,00453,"Inorganics, Major, Non-metals","Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter",Not checked,,,,,Dissolved,,71-52-3,Bicarbonate,mg/l
149,00480,Physical,"Salinity, water, unfiltered, parts per thousand",Not checked,,,,,Total,, ,Salinity,ppth
150,00495,Physical,"Moisture content, solids, fraction of dry weight, percent",Not checked,,,Dry,,,, ,Moisture content,%
151,00496,Sediment,"Loss on ignition, bed sediment, milligrams per kilogram",Not checked,,,,,Bed Sediment,, , ,mg/kg
152,00500,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Not checked,,,,,Total,105 deg C, ,Total solids,mg/l
153,00505,Physical,"Loss on ignition of total solids, water, unfiltered, milligrams per liter",Not checked,,,,,Total,, ,Total volatile solids,mg/l
154,00510,Physical,"Total solids remaining after ignition, water, unfiltered, milligrams per liter",Not checked,,,,,Total,, ,Total fixed solids,mg/l
155,00515,Physical,"Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter",Not checked,,,,,Dissolved,105 deg C, ,Total dissolved solids,mg/l
156,00520,Physical,"Loss on ignition of dissolved solids, water, filtered, milligrams per liter",Not checked,,,,,Dissolved,, ,Volatile dissolved solids,mg/l
157,00525,Physical,"Dissolved solids remaining after ignition, water, filtered, milligrams per liter",Not checked,,,,,Dissolved,, ,Fixed dissolved solids,mg/l
158,00530,Physical,"Suspended solids, water, unfiltered, milligrams per liter",Not checked,,,,,Non-filterable,, ,Total suspended solids,mg/l
159,00535,Physical,"Loss on ignition of suspended solids, water, unfiltered, milligrams per liter",Not checked,,,,,Non-filterable,, ,Volatile Suspended Solids,mg/l
160,00540,Physical,"Suspended solids remaining after ignition, water, unfiltered, milligrams per liter",Not checked,,,,,,, ,Fixed suspended solids,mg/l
161,00545,Physical,"Settleable solids, water, unfiltered, milligrams per liter",Not checked,,,,,Settleable,, ,Settleable solids,mg/l
162,00548,Physical,"Non-settleable solids remaining after ignition, milligrams per liter",Not checked,,,,,,, , ,mg/l
163,00549,Physical,"Loss on ignition of non-settleable solids, milligrams per liter",Not checked,,,,,Non-settleable,, , ,mg/l
164,00550,"Organics, Other","Oil and grease, water, unfiltered, recoverable, milligrams per liter",Not checked,,,,,Recoverable,, ,Oil and grease -- CWA 304B,mg/l
165,00551,"Organics, Other","Petroleum hydrocarbons, water, unfiltered, CCl4 extraction, infrared chromatography, recoverable, milligrams per liter",Not checked,,,,,Recoverable,, ,"Hydrocarbons, petroleum",mg/l
166,00552,"Organics, Other","Oil and grease, water, unfiltered, hexane extraction, recoverable, milligrams per liter",Not checked,,,,,Recoverable,, ,Oil and grease -- CWA 304B,mg/l
167,00553,"Organics, Other","Oil and grease, bed sediment, hexane extraction, recoverable, dry weight, milligrams per kilogram",Not checked,,,Dry,,Bed Sediment,, ,Oil and grease -- CWA 304B,mg/kg
168,00556,"Organics, Other","Oil and grease, water, unfiltered, freon extraction, gravimetric, recoverable, milligrams per liter",Not checked,,,,,Recoverable,, ,Oil and grease -- CWA 304B,mg/l
169,00557,"Organics, Other","Oil and grease, bed sediment, freon extraction, gravimetric, recoverable, dry weight, milligrams per kilogram",Not checked,,,Dry,,Bed Sediment,, ,Oil and grease -- CWA 304B,mg/kg
170,00560,"Organics, Other","Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter",Not checked,,,,,Recoverable,, ,Oil and grease -- CWA 304B,mg/l
171,00561,"Organics, Other","Oil and grease, bed sediment, freon extraction, electrometric infrared, recoverable, dry weight, milligrams per kilogram",Not checked,,,Dry,,Bed Sediment,, ,Oil and grease -- CWA 304B,mg/kg
172,00572,Biological,"Biomass, periphyton, ash weight, grams per square meter",Not checked,,,Ash Weight,,,, ,"Biomass, periphyton",g/m2
173,00573,Biological,"Biomass, periphyton, dry weight, grams per square meter",Not checked,,,Dry,,,, ,"Biomass, periphyton",g/m2
174,00597,"Inorganics, Major, Non-metals","Dinitrogen, water, unfiltered, milligrams per liter",Not checked,,,,,Dissolved,,7727-37-9,Nitrogen,mg/l
175,00598,"Inorganics, Major, Non-metals","Dinitrogen, water, unfiltered, percent of saturation",Not checked,,,,,Dissolved,,7727-37-9,Nitrogen,%
176,00600,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter",Agree,,,,,Total,, ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l
177,00601,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], suspended sediment, total, milligrams per liter",Not checked,,,,,Suspended,, ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l
178,00602,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter",Agree,,,,,Dissolved,, ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l
179,00603,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], bed sediment, total, dry weight, milligrams per kilogram",Agree,,,Dry,,Bed Sediment,, ,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/kg
180,00604,Nutrient,"Ammonia (NH3 + NH4+), suspended sediment, total, milligrams per liter as nitrogen",Agree,,,,,Suspended,, ,Ammonia and ammonium,mg/l as N
181,00605,Nutrient,"Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,, ,Organic nitrogen,mg/l
182,00606,Nutrient,"Organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen",Agree,,,,,Suspended,, ,Organic nitrogen,mg/l
183,00607,Nutrient,"Organic nitrogen, water, filtered, milligrams per liter as nitrogen",Agree,,,,,Dissolved,, ,Organic nitrogen,mg/l
184,00608,Nutrient,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen",Agree,,,,,Dissolved,, ,Ammonia and ammonium,mg/l as N
185,00610,Nutrient,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,, ,Ammonia and ammonium,mg/l as N
186,00611,Nutrient,"Ammonia (NH3 + NH4+), bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,,,Dry,,Bed Sediment,, ,Ammonia and ammonium,mg/kg as N
187,00613,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrogen",Agree,,,,,Dissolved,,14797-65-0,Nitrite,mg/l as N
188,00615,Nutrient,"Nitrite, water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,,14797-65-0,Nitrite,mg/l as N
189,00616,Nutrient,"Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,,,Dry,,Bed Sediment,,14797-65-0,Nitrite,mg/kg as N
190,00618,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",Agree,,,,,Dissolved,,14797-55-8,Nitrate,mg/l as N
191,00619,Nutrient,"Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen",Not checked,,,,,Total,,7664-41-7,Ammonia,mg/l as N
192,00620,Nutrient,"Nitrate, water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,,14797-55-8,Nitrate,mg/l as N
193,00621,Nutrient,"Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,,,Dry,,Bed Sediment,,14797-55-8,Nitrate,mg/kg as N
194,00623,Nutrient,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",Agree,,,,,Dissolved,, ,Kjeldahl nitrogen,mg/l as N
195,00624,Nutrient,"Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen",Agree,,,,,Suspended,, ,Kjeldahl nitrogen,mg/l as N
196,00625,Nutrient,"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,, ,Kjeldahl nitrogen,mg/l as N
197,00626,Nutrient,"Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Not agree,,,Dry,,Bed Sediment,, ,Kjeldahl nitrogen,mg/kg as N
198,00628,Nutrient,"Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen",Agree,,,,,Suspended,, ,Inorganic nitrogen (nitrate and nitrite),mg/l as N
199,00630,Nutrient,"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen",Agree,,,,,Total,, ,Inorganic nitrogen (nitrate and nitrite),mg/l as N
