,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
18978,90550,Information,"Toluene-d8, surrogate, NWQL schedule 1401, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,2037-26-5, ,%
18979,90551,Information,"Toluene-d8, surrogate, NWQL schedule 2090, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,2037-26-5, ,%
18980,90552,Information,"Malathion-d10 (diethyl-d10), surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,347841-48-9, ,%
18981,90553,Information,"Metolachlor-d6, surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
18982,90554,Information,"Nicosulfuron-d6 (dimethoxy-d6), surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,1189419-41-7, ,%
18983,90555,Information,"Tebuconazole-d6, surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
18984,90556,Information,"Thiobencarb-d10 (diethyl-d10), surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
18985,90557,Information,"Trifluralin-d14 (di-n-propyl-d14), surrogate, water, filtered, percent recovery",Not checked,,,,,Dissolved,,347841-79-6, ,%
18986,90558,Information,"cis-Permethrin-13C6, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
18987,90559,Information,"trans-Permethrin-13C6, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
18988,90560,Information,"2,2'-Difluorobiphenyl, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,388-82-9, ,%
18989,90561,Information,"2,2'-Difluorobiphenyl, surrogate, NWQL schedules 1383/1385, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,388-82-9, ,%
18990,90562,Information,"2,2'-Difluorobiphenyl, surrogate, NWQL schedule 1394, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,388-82-9, ,%
18991,90563,Information,"4,4'-Dibromobiphenyl, surrogate, NWQL schedules 1384/1386, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,92-86-4, ,%
18992,90564,Information,"4,4'-Dibromobiphenyl, surrogate, NWQL schedules 1383/1385, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,92-86-4, ,%
18993,90565,Information,"4,4'-Dibromobiphenyl, surrogate, NWQL schedule 1394, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,92-86-4, ,%
18994,90566,Information,"Isodrin, surrogate, NWQL schedule 1321, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,465-73-6, ,%
18995,90567,Information,"Isodrin, surrogate, NWQL schedule 1324, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,465-73-6, ,%
18996,90568,Information,"Isodrin, surrogate, NWQL schedule 1325, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,465-73-6, ,%
18997,90569,Information,"Isodrin, surrogate, NWQL schedule 1364, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,465-73-6, ,%
18998,90570,Information,"Isodrin, surrogate, NWQL schedule 1608, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,465-73-6, ,%
18999,90571,Information,"Isodrin, surrogate, NWQL schedule 1398, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,465-73-6, ,%
19000,90572,Information,"Trifluralin-d14 (di-n-propyl-d14), surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,,347841-79-6, ,%
19001,90573,Information,"alpha-HCH-13C6, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,,222966-66-7, ,%
19002,90574,Information,"p,p'-DDE-d8, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,,93952-19-3, ,%
19003,90575,Information,"PCB congener 207, surrogate, NWQL schedules 1325 and 5504, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,52663-79-3, ,%
19004,90576,Information,"1-Bromo-3-chloropropane-d6, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Total,,1173018-46-6, ,%
19005,90577,Information,"Methyl tert-butyl ether-d3, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Total,,29366-08-3, ,%
19006,90578,Information,"Methyl tert-butyl ether-d12, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Total,, , ,%
19007,90579,Information,"tert-Butanol-d10, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Total,,53001-22-2, ,%
19008,90580,Information,"alpha-Endosulfan-d4, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,,203645-57-2, ,%
19009,90581,Information,"beta-Endosulfan-d4, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,,203716-99-8, ,%
19010,90582,Information,"trans-Cypermethrin-d6, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19011,90583,Information,"trans-Permethrin-d6, surrogate/internal standard, water, filtered, percent recovery",Not checked,,,,,Dissolved,, , ,%
19012,90584,Information,"Caffeine-d9, surrogate, water, filtered, LVI GC/MS Method, percent recovery",Not checked,,,,,Dissolved,,72238-85-8, ,%
19013,90585,Information,"Fluoranthene-d10, surrogate, water, filtered, LVI GC/MS Method, percent recovery",Not checked,,,,,Dissolved,,93951-69-0, ,%
19014,90586,Information,"Bisphenol A-d3, surrogate, water, filtered, LVI GC/MS Method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19015,90587,Information,"4-n-Nonylphenol-2,3,5,6-d4, surrogate, water, filtered, LVI GC/MS Method, percent recovery",Not checked,,,,,Dissolved,,358730-95-7, ,%
19016,90588,Information,"Benzo[e]pyrene-d14, surrogate, water, filtered, LVI GC/MS Method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19017,90589,Information,"Caffeine-d9, surrogate, water, unfiltered, LVI GC/MS Method, percent recovery",Not checked,,,,,Recoverable,,72238-85-8, ,%
19018,90590,Information,"2,4-DB, surrogate, NWQL schedule 80, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,94-82-6, ,%
19019,90591,Information,"2,4-DB, surrogate, NWQL schedule 79, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,94-82-6, ,%
19020,90592,Information,"2,4-DB, surrogate, NWQL schedule 1301, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,94-82-6, ,%
19021,90593,Information,"2,4-DB, surrogate, NWQL schedule 1304, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,94-82-6, ,%
19022,90594,Information,"2,4-DB, surrogate, NWQL schedule 1305, bed sediment, percent recovery",USGS use and no use by EPA,,,,,Bed Sediment,,94-82-6, ,%
19023,90595,Information,"Fluoranthene-d10, surrogate, water, unfiltered, LVI GC/MS Method, percent recovery",Not checked,,,,,Recoverable,,93951-69-0, ,%
19024,90596,Information,"Bisphenol A-d3, surrogate, water, unfiltered, LVI GC/MS Method, percent recovery",Not checked,,,,,Recoverable,, , ,%
19025,90597,Information,"4-n-Nonylphenol-2,3,5,6-d4, surrogate, water, unfiltered, LVI GC/MS Method, percent recovery",Not checked,,,,,Recoverable,,358730-95-7, ,%
19026,90598,Information,"Benzo[e]pyrene-d14, surrogate, water, unfiltered, LVI GC/MS Method, percent recovery",Not checked,,,,,Recoverable,, , ,%
19027,90599,Information,"Carbamazepine-d10, surrogate, solids, percent recovery",Not checked,,,,,,,132183-78-9, ,%
19028,90600,Information,"Naproxen-d3-13C1, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19029,90601,Information,"Bisphenol A-d16, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,,96210-87-6, ,%
19030,90602,Information,"Diclofenac-d4, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19031,90603,Information,"Gemfibrozil-d6, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19032,90604,Information,"Simvastatin-d6, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,,1002347-71-8, ,%
19033,90605,Information,"Simvastatin-d6 hydroxy acid, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19034,90606,Information,"Triclosan-d3, surrogate, water, filtered, pharmaceutical method, percent recovery",Not checked,,,,,Dissolved,, , ,%
19035,90607,Information,"Tetrahydrofuran-d8, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Recoverable,,1693-74-9, ,%
19036,90608,Information,"n-Octyl-d17 alcohol, surrogate, water, unfiltered, percent recovery",Not checked,,,,,Recoverable,,15336-13-1, ,%
