site_no,site_tp_cd
11519500,ST
11520500,ST
11522500,ST
11523000,ST
11525500,ST
11525655,ST
11525854,ST
11526400,ST
11527000,ST
11528700,ST
11530000,ST
11530500,ST
11532500,ST
14361600,ST
324329114430001,ST
330131114364101,ST
330657115453601,WE
330659115451801,WE
330700115450601,WE
341015118284001,ST
341049118295201,ST
362949118195901,ST
362949118200501,ST
363023118203301,ST
363023118203601,ST
363307118213001,ST
363357118222001,ST
363359118215601,ST
363400118203001,ST
363411118191001,ST
363428118184001,ST
363536118221601,ST
363539118221101,ST
372507121594801,LK
372750122012701,ST
373015122071000,ES
373706122173001,ES
373751122143601,ES
374742119154401,ST
374811122235001,ES
374813119154901,ST
374856122210301,ES
374938122251801,ES
374948122321401,OC-CO
374949122320101,LK
374949122320102,LK
374953122314101,LK
374955122313001,LK
374955122313301,ST
374956122322201,ST
374958122304601,ST
375007122310701,ST
375019122295601,ST
375032122294301,ST
375144119241601,ST
375145119241501,ST
375303119224101,ST
375304119224201,ST
375306119223001,ST
375607122264701,ES
375613119200701,ST
375616119204401,ST
375649121202101,ST
375709121190301,ST
375831121223701,ST
375944121252301,ST
380124121312501,ST
380131121280501,ST
380138121441401,ST
380148122090601,ES
380232121241801,ST
380300121344801,ST
380318121571501,ES
380337122000301,ES
380354122020601,ES
380356122023701,ES
380433121341501,ST
380548121390501,ST
380550121322801,LK
380557121323001,LK
380604121334701,ST
380631122032201,ES
380711121323401,ST
380749121344701,ST
380756122004201,ES
380831121281201,ST
380831121301301,ST
380837121333401,ST
380924121301901,LK
381142122015801,ES
381540121445301,ST
381627121395101,ST
382010121402301,ST
382205121311300,ST
384041121402601,ST
384106121402401,ST
384106121402402,ST
384106121402404,ST
384106121402405,ST
384106121402406,ST
384106121402407,ST
384106121402408,ST
384115121402501,ST
385644122542201,LK
385653122540901,ST
385656122381701,LK
385741122402101,LK
385859122430101,LK
390005122441301,LK
390009122400201,LK
390010122401401,LK
390015122394801,LK
390015122395001,LK
390021122404001,LK
390029122410601,LK
390030122502101,ST
390046122415601,LK
390109122402701,LK
390126122471701,LK
390140122395401,ST
390243122544701,LK
390340122490101,LK
390538122504901,LK
390544122574201,ST
390707122531101,ST
390924122553201,ST
390924122553501,LK
390943122543801,ST
390950122595101,LK
391027123004801,LK
391057122544301,ST
401724120215400,LK
404034120394400,LK
420007121464200,ST-CA
