site_no,datetime,00065,00060,00010,00095,00300,00400,72255,63160,63680,00301,32316
09429490,2024-05-01 22:15:00+00:00,,,23.4,1120.0,7.4,8.2,,,,,
09429490,2024-05-01 22:30:00+00:00,,,23.4,1120.0,7.5,8.2,,,,,
09429490,2024-05-01 22:45:00+00:00,,,23.4,1120.0,7.5,8.2,,,,,
09429490,2024-05-01 23:00:00+00:00,,,23.4,1120.0,7.3,8.2,,,,,
09429490,2024-05-01 23:15:00+00:00,,,23.5,1120.0,7.4,8.2,,,,,
09429490,2024-05-01 23:30:00+00:00,,,23.5,1120.0,7.5,8.2,,,,,
09429490,2024-05-01 23:45:00+00:00,,,23.5,1120.0,7.6,8.2,,,,,
09429490,2024-05-02 00:00:00+00:00,,,23.5,1130.0,7.4,8.2,,,,,
09429490,2024-05-02 00:15:00+00:00,,,23.5,1130.0,7.5,8.1,,,,,
09429490,2024-05-02 00:30:00+00:00,,,23.5,1130.0,7.5,8.2,,,,,
09429490,2024-05-02 00:45:00+00:00,,,23.5,1130.0,7.5,8.1,,,,,
09429490,2024-05-02 01:00:00+00:00,,,23.5,1130.0,7.4,8.1,,,,,
09429490,2024-05-02 01:15:00+00:00,,,23.5,1130.0,7.5,8.1,,,,,
09429490,2024-05-02 01:30:00+00:00,,,23.5,1130.0,7.4,8.1,,,,,
09429490,2024-05-02 01:45:00+00:00,,,23.5,1130.0,7.3,8.1,,,,,
09429490,2024-05-02 02:00:00+00:00,,,23.5,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 02:15:00+00:00,,,23.5,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 02:30:00+00:00,,,23.5,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 02:45:00+00:00,,,23.5,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 03:00:00+00:00,,,23.4,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 03:15:00+00:00,,,23.4,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 03:30:00+00:00,,,23.4,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 03:45:00+00:00,,,23.4,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 04:00:00+00:00,,,23.4,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 04:15:00+00:00,,,23.3,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 04:30:00+00:00,,,23.3,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 04:45:00+00:00,,,23.3,1140.0,7.4,8.1,,,,,
09429490,2024-05-02 05:00:00+00:00,,,23.3,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 05:15:00+00:00,,,23.3,1140.0,7.3,8.1,,,,,
09429490,2024-05-02 05:30:00+00:00,,,23.2,1150.0,7.3,8.1,,,,,
09429490,2024-05-02 05:45:00+00:00,,,23.2,1150.0,7.3,8.1,,,,,
09429490,2024-05-02 06:00:00+00:00,,,23.2,1150.0,7.2,8.1,,,,,
09429490,2024-05-02 06:15:00+00:00,,,23.1,1150.0,7.3,8.1,,,,,
09429490,2024-05-02 06:30:00+00:00,,,23.1,1150.0,7.1,8.1,,,,,
09429490,2024-05-02 06:45:00+00:00,,,23.1,1150.0,7.0,8.1,,,,,
09429490,2024-05-02 07:00:00+00:00,,,23.1,1150.0,7.2,8.1,,,,,
